timestamp,mem_total_mb,mem_used_mb,mem_free_mb,mem_available_mb,swap_used_mb,gpu_used_mib,gpu_free_mib,gpu_util_pct
2026-04-17T16:06:51,15748,3063,7604,12684,1735,321,11589,0
2026-04-17T16:06:52,15748,3040,7627,12707,1735,321,11589,0
2026-04-17T16:06:53,15748,3365,7301,12382,1735,324,11586,0
2026-04-17T16:06:54,15748,4087,6580,11651,1735,1001,10909,4
2026-04-17T16:06:55,15748,5565,5101,10182,1735,1001,10909,0
2026-04-17T16:06:56,15748,4027,6639,11720,1735,2815,9095,0
2026-04-17T16:06:57,15748,5626,5041,10121,1735,2815,9095,0
2026-04-17T16:06:58,15748,5935,4731,9812,1735,2815,9095,0
2026-04-17T16:07:00,15748,7170,3497,8577,1735,2815,9095,0
2026-04-17T16:07:01,15748,9490,1177,6257,1735,2815,9095,0
2026-04-17T16:07:02,15748,7163,3504,8584,1735,4441,7469,21
2026-04-17T16:07:03,15748,7351,3315,8396,1735,5825,6085,72
2026-04-17T16:07:04,15748,7362,3304,8385,1735,6197,5713,100
2026-04-17T16:07:05,15748,7388,3278,8359,1735,6279,5631,100
2026-04-17T16:07:06,15748,7407,3258,8340,1735,6279,5631,98
2026-04-17T16:07:07,15748,7420,3246,8328,1735,6361,5549,100
2026-04-17T16:07:08,15748,7418,3248,8329,1735,6361,5549,100
2026-04-17T16:07:09,15748,7440,3226,8307,1735,6607,5303,100
2026-04-17T16:07:10,15748,7443,3223,8304,1735,6607,5303,100
2026-04-17T16:07:11,15748,7453,3213,8294,1735,6607,5303,100
2026-04-17T16:07:12,15748,7443,3222,8304,1735,6607,5303,100
2026-04-17T16:07:13,15748,7441,3225,8307,1735,6607,5303,98
2026-04-17T16:07:14,15748,7431,3235,8316,1735,6607,5303,100
2026-04-17T16:07:15,15748,7456,3209,8291,1735,6607,5303,99
2026-04-17T16:07:16,15748,7446,3219,8301,1735,6689,5221,100
2026-04-17T16:07:17,15748,7391,3274,8387,1735,6689,5221,0
2026-04-17T16:07:18,15748,3202,7464,12546,1735,321,11589,0
2026-04-17T16:07:19,15748,3165,7500,12582,1735,321,11589,0
2026-04-17T16:07:20,15748,3165,7500,12582,1735,321,11589,0
2026-04-17T16:07:21,15748,3160,7505,12587,1735,321,11589,0
2026-04-17T16:07:22,15748,3173,7492,12574,1735,321,11589,0
2026-04-17T16:07:23,15748,3173,7493,12574,1735,321,11589,0
2026-04-17T16:07:24,15748,3169,7496,12577,1735,321,11589,0
2026-04-17T16:07:25,15748,3166,7499,12581,1735,321,11589,0
2026-04-17T16:07:26,15748,3152,7513,12595,1735,321,11589,0
2026-04-17T16:07:27,15748,3150,7515,12598,1735,321,11589,0
2026-04-17T16:07:28,15748,3150,7515,12597,1735,321,11589,0
2026-04-17T16:07:30,15748,3144,7521,12603,1735,321,11589,0
2026-04-17T16:07:31,15748,3152,7513,12595,1735,321,11589,0
2026-04-17T16:07:32,15748,3149,7517,12598,1735,321,11589,0
2026-04-17T16:07:33,15748,3142,7523,12605,1735,321,11589,0
2026-04-17T16:07:34,15748,3158,7508,12589,1735,321,11589,0
