timestamp,mem_total_mb,mem_used_mb,mem_free_mb,mem_available_mb,swap_used_mb,gpu_used_mib,gpu_free_mib,gpu_util_pct
2026-04-17T16:03:44,15748,3086,7617,12661,1747,321,11589,0
2026-04-17T16:03:45,15748,3104,7599,12643,1747,321,11589,0
2026-04-17T16:03:46,15748,3127,7576,12620,1747,321,11589,0
2026-04-17T16:03:48,15748,3139,7565,12608,1747,321,11589,0
2026-04-17T16:03:49,15748,3133,7570,12615,1747,321,11589,0
2026-04-17T16:03:50,15748,3132,7570,12614,1747,321,11589,0
2026-04-17T16:03:51,15748,3143,7552,12604,1745,321,11589,0
2026-04-17T16:03:52,15748,3129,7561,12619,1744,321,11589,0
2026-04-17T16:03:53,15748,3108,7578,12639,1741,321,11589,0
2026-04-17T16:03:54,15748,3162,7524,12585,1741,321,11589,0
2026-04-17T16:03:55,15748,3129,7557,12618,1741,321,11589,0
2026-04-17T16:03:56,15748,3136,7550,12611,1741,321,11589,0
2026-04-17T16:03:57,15748,3139,7547,12608,1741,321,11589,0
2026-04-17T16:03:58,15748,3151,7535,12596,1741,321,11589,0
2026-04-17T16:03:59,15748,3147,7539,12601,1741,321,11589,0
2026-04-17T16:04:00,15748,3108,7578,12639,1741,321,11589,0
2026-04-17T16:04:01,15748,3430,7256,12318,1741,324,11586,0
2026-04-17T16:04:02,15748,4369,6317,11378,1741,1001,10909,0
2026-04-17T16:04:03,15748,5596,5090,10151,1741,1001,10909,0
2026-04-17T16:04:04,15748,4072,6614,11675,1741,2815,9095,66
2026-04-17T16:04:05,15748,5625,5061,10122,1741,2815,9095,0
2026-04-17T16:04:06,15748,5963,4723,9784,1741,2815,9095,0
2026-04-17T16:04:07,15748,7127,3559,8620,1741,2815,9095,0
2026-04-17T16:04:08,15748,7151,3535,8596,1741,2815,9095,0
2026-04-17T16:04:09,15748,7166,3520,8582,1741,2815,9095,0
2026-04-17T16:04:10,15748,7166,3520,8581,1741,2815,9095,0
2026-04-17T16:04:11,15748,7183,3503,8564,1741,2815,9095,0
2026-04-17T16:04:13,15748,7197,3489,8550,1741,2815,9095,0
2026-04-17T16:04:14,15748,7184,3502,8563,1741,2815,9095,0
2026-04-17T16:04:15,15748,7199,3487,8548,1741,2815,9095,0
2026-04-17T16:04:16,15748,7195,3490,8552,1741,2815,9095,0
2026-04-17T16:04:17,15748,7200,3486,8547,1741,2815,9095,0
2026-04-17T16:04:18,15748,7204,3481,8542,1741,2815,9095,0
2026-04-17T16:04:19,15748,7194,3491,8553,1741,2815,9095,0
2026-04-17T16:04:20,15748,9857,784,5882,1741,2815,9095,0
2026-04-17T16:04:21,15748,7194,3543,8553,1746,4665,7245,58
2026-04-17T16:04:22,15748,7340,3398,8407,1746,5743,6167,100
2026-04-17T16:04:23,15748,7365,3372,8382,1746,6281,5629,97
2026-04-17T16:04:24,15748,7373,3364,8374,1746,6281,5629,100
2026-04-17T16:04:25,15748,7368,3369,8379,1746,6363,5547,100
2026-04-17T16:04:26,15748,7380,3357,8367,1746,6363,5547,100
2026-04-17T16:04:27,15748,7380,3358,8368,1746,6445,5465,98
2026-04-17T16:04:28,15748,7387,3350,8360,1746,6445,5465,99
2026-04-17T16:04:29,15748,7399,3338,8348,1746,6527,5383,100
2026-04-17T16:04:30,15748,7410,3327,8337,1746,6771,5139,100
2026-04-17T16:04:31,15748,7419,3318,8328,1746,6771,5139,100
2026-04-17T16:04:32,15748,7412,3325,8335,1746,6771,5139,100
2026-04-17T16:04:33,15748,7415,3322,8332,1746,6771,5139,98
2026-04-17T16:04:34,15748,7407,3330,8341,1746,6771,5139,98
2026-04-17T16:04:35,15748,7415,3322,8332,1746,6771,5139,99
2026-04-17T16:04:36,15748,3110,7627,12637,1746,321,11589,0
2026-04-17T16:04:37,15748,3124,7613,12623,1746,321,11589,0
2026-04-17T16:04:39,15748,3116,7621,12631,1746,321,11589,0
2026-04-17T16:04:40,15748,3118,7619,12629,1746,321,11589,0
2026-04-17T16:04:41,15748,3116,7622,12632,1746,321,11589,0
2026-04-17T16:04:42,15748,3108,7629,12639,1746,321,11589,0
2026-04-17T16:04:43,15748,3120,7617,12627,1746,321,11589,0
2026-04-17T16:04:44,15748,3113,7625,12634,1746,321,11589,0
2026-04-17T16:04:45,15748,3132,7606,12616,1746,321,11589,0
2026-04-17T16:04:46,15748,3129,7609,12618,1746,321,11589,0
2026-04-17T16:04:47,15748,3115,7622,12632,1746,321,11589,0
2026-04-17T16:04:48,15748,3104,7633,12643,1746,321,11589,0
2026-04-17T16:04:49,15748,3121,7616,12626,1746,321,11589,0
2026-04-17T16:04:50,15748,3122,7616,12625,1746,321,11589,0
2026-04-17T16:04:51,15748,3102,7634,12645,1746,321,11589,0
2026-04-17T16:04:52,15748,3093,7644,12654,1746,321,11589,0
2026-04-17T16:04:53,15748,3090,7647,12657,1746,321,11589,0
2026-04-17T16:04:54,15748,3101,7636,12646,1746,321,11589,0
2026-04-17T16:04:55,15748,3105,7632,12642,1746,321,11589,0
2026-04-17T16:04:56,15748,3107,7630,12640,1746,321,11589,0
2026-04-17T16:04:57,15748,3120,7618,12628,1746,321,11589,0
2026-04-17T16:04:58,15748,3113,7624,12634,1746,321,11589,0
2026-04-17T16:04:59,15748,3092,7645,12655,1746,321,11589,0
2026-04-17T16:05:01,15748,3088,7649,12659,1746,321,11589,0
2026-04-17T16:05:02,15748,3104,7633,12642,1746,321,11589,0
